C++ SelectionSort
10000 0.158119
20000 0.613125
30000 1.40997
40000 2.40621
50000 3.71696
60000 5.37421
70000 7.24223
80000 9.5486
90000 12.5096
100000 14.8618
C++ MergeSort
10000 0.003144
20000 0.005833
30000 0.009005
40000 0.013612
50000 0.022556
60000 0.01901
70000 0.03118
80000 0.025963
90000 0.032283
100000 0.058344
C++ QuickSort
10000 0.002589
20000 0.003925
30000 0.007492
40000 0.00846
50000 0.011655
60000 0.014033
70000 0.01581
80000 0.017562
90000 0.02535
100000 0.023012
C++ CountingSort
10000 0.000257
20000 0.00051
30000 0.000826
40000 0.001172
50000 0.001302
60000 0.002149
70000 0.001866
80000 0.002234
90000 0.002431
100000 0.002715
C++ HeapSort
10000 0.003279
20000 0.011129
30000 0.010941
40000 0.013611
50000 0.019604
60000 0.023545
70000 0.026724
80000 0.030214
90000 0.032992
100000 0.064888
C++ BubbleSort
10000 0.539472
20000 2.36295
30000 5.457
40000 9.64036
50000 14.9265
60000 21.7772
70000 29.7472
80000 38.8321
90000 49.415
100000 60.7932
C++ InsertSort
10000 0.093155
20000 0.416995
30000 0.870823
40000 1.55921
50000 2.38819
60000 3.45691
70000 4.69119
80000 6.12981
90000 7.81869
100000 9.55293
Java SelectionSort
10000 0.14896333
20000 0.29340467
30000 1.1302994
40000 1.7821205
50000 2.7574928
60000 4.11127
70000 5.463867
80000 7.2942224
90000 9.144303
100000 11.502355
Java MergeSort
10000 0.00294912
20000 0.009961472
30000 0.0114688
40000 0.014614528
50000 0.013893632
60000 0.032833535
70000 0.018743295
80000 0.033357825
90000 0.028901376
100000 0.024117248
Java QuickSort
10000 0.003014656
20000 0.005177344
30000 0.008126464
40000 0.010682368
50000 0.0131072
60000 0.013828096
70000 0.017498111
80000 0.016973823
90000 0.01867776
100000 0.01998848
Java CountingSort
10000 0.001572864
20000 0.003211264
30000 0.004063232
40000 0.004194304
50000 0.00425984
60000 0.005046272
70000 0.011206656
80000 0.016646145
90000 0.014548992
100000 0.016384
Java HeapSort
10000 0.009043968
20000 0.020774912
30000 0.02031616
40000 0.021102592
50000 0.021168128
60000 0.030212097
70000 0.027066369
80000 0.028114945
90000 0.03211264
100000 0.03506176
Java BubbleSort
10000 0.49931878
20000 2.0198195
30000 3.936813
40000 8.049197
50000 10.99681
60000 15.8497505
70000 21.582577
80000 28.217049
90000 35.773613
100000 44.10704
Java InsertSort
10000 0.06370099
20000 0.07510426
30000 0.16724788
40000 0.274858
50000 0.42441115
60000 0.609878
70000 0.8420065
80000 1.1139809
90000 1.3593477
100000 1.6754934
Python SelectionSort
10000 3.8421339988708496
20000 15.595166206359863
30000 35.38127875328064
40000 63.996235370635986
50000 101.18698740005493
60000 144.7404284477234
70000 198.81664156913757
80000 281.97673988342285
90000 340.3679759502411
100000 432.7627651691437
Python MergeSort
10000 0.06163477897644043
20000 0.1287097930908203
30000 0.19708657264709473
40000 0.28127503395080566
50000 0.45528316497802734
60000 0.5245556831359863
70000 0.530261754989624
80000 0.5591099262237549
90000 0.6967391967773438
100000 0.7567906379699707
Python QuickSort
10000 0.03227543830871582
20000 0.06091904640197754
30000 0.09852433204650879
40000 0.1376817226409912
50000 0.16338086128234863
60000 0.22183465957641602
70000 0.2627074718475342
80000 0.2976572513580322
90000 0.33803892135620117
100000 0.3394629955291748
Python CountingSort
10000 0.006898641586303711
20000 0.013903617858886719
30000 0.024667024612426758
40000 0.04044699668884277
50000 0.05315876007080078
60000 0.07616734504699707
70000 0.05976676940917969
80000 0.06666898727416992
90000 0.0837860107421875
100000 0.09394311904907227
Python HeapSort
10000 0.06148481369018555
20000 0.1416029930114746
30000 0.22672748565673828
40000 0.2956085205078125
50000 0.4001893997192383
60000 0.45091724395751953
70000 0.5388290882110596
80000 0.6446607112884521
90000 0.7372791767120361
100000 0.8384363651275635
Python BubbleSort
10000 15.482635021209717
20000 65.97601866722107
30000 150.8646490573883
40000 263.904074669
50000 412.35011667
60000 593.784168005
70000 808.206228673
80000 1055.61629868
90000 1336.01437801 
100000 1649.40046668
Python InsertSort
10000 6.02774453163147
20000 24.29759693145752
30000 53.49846577644348
40000 101.89016890525818
50000 164.76895332336426
60000 223.24105429649353
70000 295.45645321513122
80000 372.84561321515544
90000 468.42565156115151
100000 541.7446515616513
